Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.1; 8; 9; Alg1; 998; 2; 0
0.1; 8; 9; LeeShin2014; 549; 0; 451
0.2; 8; 9; Alg1; 965; 35; 0
0.2; 8; 9; LeeShin2014; 136; 0; 864
0.3; 8; 9; Alg1; 728; 272; 0
0.3; 8; 9; LeeShin2014; 14; 0; 986
0.4; 8; 9; Alg1; 452; 548; 0
0.4; 8; 9; LeeShin2014; 16; 0; 984
0.5; 8; 9; Alg1; 275; 725; 0
0.5; 8; 9; LeeShin2014; 15; 0; 985
0.6; 8; 9; Alg1; 177; 823; 0
0.6; 8; 9; LeeShin2014; 13; 0; 987
0.7; 8; 9; Alg1; 124; 876; 0
0.7; 8; 9; LeeShin2014; 12; 0; 988
0.8; 8; 9; Alg1; 109; 891; 0
0.8; 8; 9; LeeShin2014; 8; 0; 992
0.9; 8; 9; Alg1; 70; 930; 0
0.9; 8; 9; LeeShin2014; 8; 0; 992
0.1; 9; 10; Alg1; 999; 1; 0
0.1; 9; 10; LeeShin2014; 538; 0; 462
0.2; 9; 10; Alg1; 959; 41; 0
0.2; 9; 10; LeeShin2014; 90; 0; 910
0.3; 9; 10; Alg1; 666; 334; 0
0.3; 9; 10; LeeShin2014; 15; 0; 985
0.4; 9; 10; Alg1; 384; 616; 0
0.4; 9; 10; LeeShin2014; 9; 0; 991
0.5; 9; 10; Alg1; 205; 795; 0
0.5; 9; 10; LeeShin2014; 10; 0; 990
0.6; 9; 10; Alg1; 137; 863; 0
0.6; 9; 10; LeeShin2014; 17; 0; 983
0.7; 9; 10; Alg1; 105; 895; 0
0.7; 9; 10; LeeShin2014; 10; 0; 990
0.8; 9; 10; Alg1; 67; 933; 0
0.8; 9; 10; LeeShin2014; 1; 0; 999
0.9; 9; 10; Alg1; 57; 943; 0
0.9; 9; 10; LeeShin2014; 3; 0; 997
0.1; 10; 11; Alg1; 1000; 0; 0
0.1; 10; 11; LeeShin2014; 513; 0; 487
0.2; 10; 11; Alg1; 944; 56; 0
0.2; 10; 11; LeeShin2014; 97; 0; 903
0.3; 10; 11; Alg1; 607; 393; 0
0.3; 10; 11; LeeShin2014; 9; 0; 991
0.4; 10; 11; Alg1; 323; 677; 0
0.4; 10; 11; LeeShin2014; 8; 0; 992
0.5; 10; 11; Alg1; 157; 843; 0
0.5; 10; 11; LeeShin2014; 4; 0; 996
0.6; 10; 11; Alg1; 86; 914; 0
0.6; 10; 11; LeeShin2014; 3; 0; 997
0.7; 10; 11; Alg1; 81; 919; 0
0.7; 10; 11; LeeShin2014; 4; 0; 996
0.8; 10; 11; Alg1; 40; 960; 0
0.8; 10; 11; LeeShin2014; 0; 0; 1000
0.9; 10; 11; Alg1; 41; 959; 0
0.9; 10; 11; LeeShin2014; 1; 0; 999
0.1; 11; 12; Alg1; 1000; 0; 0
0.1; 11; 12; LeeShin2014; 527; 0; 473
0.2; 11; 12; Alg1; 920; 80; 0
0.2; 11; 12; LeeShin2014; 85; 0; 915
0.3; 11; 12; Alg1; 562; 438; 0
0.3; 11; 12; LeeShin2014; 13; 0; 987
0.4; 11; 12; Alg1; 279; 721; 0
0.4; 11; 12; LeeShin2014; 7; 0; 993
0.5; 11; 12; Alg1; 116; 884; 0
0.5; 11; 12; LeeShin2014; 5; 0; 995
0.6; 11; 12; Alg1; 77; 923; 0
0.6; 11; 12; LeeShin2014; 4; 0; 996
0.7; 11; 12; Alg1; 46; 954; 0
0.7; 11; 12; LeeShin2014; 4; 0; 996
0.8; 11; 12; Alg1; 35; 965; 0
0.8; 11; 12; LeeShin2014; 1; 0; 999
0.9; 11; 12; Alg1; 17; 983; 0
0.9; 11; 12; LeeShin2014; 0; 0; 1000
0.1; 12; 13; Alg1; 999; 1; 0
0.1; 12; 13; LeeShin2014; 492; 0; 508
0.2; 12; 13; Alg1; 902; 98; 0
0.2; 12; 13; LeeShin2014; 53; 0; 947
0.3; 12; 13; Alg1; 499; 501; 0
0.3; 12; 13; LeeShin2014; 4; 0; 996
0.4; 12; 13; Alg1; 230; 770; 0
0.4; 12; 13; LeeShin2014; 2; 0; 998
0.5; 12; 13; Alg1; 106; 894; 0
0.5; 12; 13; LeeShin2014; 1; 0; 999
0.6; 12; 13; Alg1; 63; 937; 0
0.6; 12; 13; LeeShin2014; 1; 0; 999
0.7; 12; 13; Alg1; 33; 967; 0
0.7; 12; 13; LeeShin2014; 0; 0; 1000
0.8; 12; 13; Alg1; 15; 985; 0
0.8; 12; 13; LeeShin2014; 0; 0; 1000
0.9; 12; 13; Alg1; 12; 988; 0
0.9; 12; 13; LeeShin2014; 0; 0; 1000
0.1; 13; 14; Alg1; 1000; 0; 0
0.1; 13; 14; LeeShin2014; 518; 0; 482
0.2; 13; 14; Alg1; 889; 111; 0
0.2; 13; 14; LeeShin2014; 55; 0; 945
0.3; 13; 14; Alg1; 443; 557; 0
0.3; 13; 14; LeeShin2014; 2; 0; 998
0.4; 13; 14; Alg1; 189; 811; 0
0.4; 13; 14; LeeShin2014; 0; 0; 1000
0.5; 13; 14; Alg1; 88; 912; 0
0.5; 13; 14; LeeShin2014; 2; 0; 998
0.6; 13; 14; Alg1; 43; 957; 0
0.6; 13; 14; LeeShin2014; 0; 0; 1000
0.7; 13; 14; Alg1; 23; 977; 0
0.7; 13; 14; LeeShin2014; 0; 0; 1000
0.8; 13; 14; Alg1; 15; 985; 0
0.8; 13; 14; LeeShin2014; 0; 0; 1000
0.9; 13; 14; Alg1; 4; 996; 0
0.9; 13; 14; LeeShin2014; 0; 0; 1000
0.1; 14; 15; Alg1; 999; 1; 0
