Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.7; 7; 8; Alg1; 176; 824; 0
0.7; 7; 8; BaekKwakLee2020; 75; 0; 925
0.8; 7; 8; Alg1; 140; 860; 0
0.8; 7; 8; BaekKwakLee2020; 60; 0; 940
0.9; 7; 8; Alg1; 102; 898; 0
0.9; 7; 8; BaekKwakLee2020; 48; 0; 952
0.1; 8; 9; Alg1; 993; 7; 0
0.1; 8; 9; BaekKwakLee2020; 610; 0; 390
0.2; 8; 9; Alg1; 968; 32; 0
0.2; 8; 9; BaekKwakLee2020; 194; 0; 806
0.3; 8; 9; Alg1; 728; 272; 0
0.3; 8; 9; BaekKwakLee2020; 45; 0; 955
0.4; 8; 9; Alg1; 438; 562; 0
0.4; 8; 9; BaekKwakLee2020; 37; 0; 963
0.5; 8; 9; Alg1; 262; 738; 0
0.5; 8; 9; BaekKwakLee2020; 66; 0; 934
0.6; 8; 9; Alg1; 164; 836; 0
0.6; 8; 9; BaekKwakLee2020; 60; 0; 940
0.7; 8; 9; Alg1; 116; 884; 0
0.7; 8; 9; BaekKwakLee2020; 37; 0; 963
0.8; 8; 9; Alg1; 86; 914; 0
0.8; 8; 9; BaekKwakLee2020; 37; 0; 963
0.9; 8; 9; Alg1; 84; 916; 0
0.9; 8; 9; BaekKwakLee2020; 30; 0; 970
0.1; 9; 10; Alg1; 1000; 0; 0
0.1; 9; 10; BaekKwakLee2020; 645; 0; 355
0.2; 9; 10; Alg1; 942; 58; 0
0.2; 9; 10; BaekKwakLee2020; 186; 0; 814
0.3; 9; 10; Alg1; 672; 328; 0
0.3; 9; 10; BaekKwakLee2020; 34; 0; 966
0.4; 9; 10; Alg1; 392; 608; 0
0.4; 9; 10; BaekKwakLee2020; 37; 0; 963
0.5; 9; 10; Alg1; 213; 787; 0
0.5; 9; 10; BaekKwakLee2020; 54; 0; 946
0.6; 9; 10; Alg1; 133; 867; 0
0.6; 9; 10; BaekKwakLee2020; 27; 0; 973
0.7; 9; 10; Alg1; 94; 906; 0
0.7; 9; 10; BaekKwakLee2020; 23; 0; 977
0.8; 9; 10; Alg1; 55; 945; 0
0.8; 9; 10; BaekKwakLee2020; 22; 0; 978
0.9; 9; 10; Alg1; 40; 960; 0
0.9; 9; 10; BaekKwakLee2020; 14; 0; 986
0.1; 10; 11; Alg1; 999; 1; 0
0.1; 10; 11; BaekKwakLee2020; 631; 0; 369
0.2; 10; 11; Alg1; 944; 56; 0
0.2; 10; 11; BaekKwakLee2020; 156; 0; 844
0.3; 10; 11; Alg1; 637; 363; 0
0.3; 10; 11; BaekKwakLee2020; 34; 0; 966
0.4; 10; 11; Alg1; 334; 666; 0
0.4; 10; 11; BaekKwakLee2020; 35; 0; 965
0.5; 10; 11; Alg1; 173; 827; 0
0.5; 10; 11; BaekKwakLee2020; 30; 0; 970
0.6; 10; 11; Alg1; 102; 898; 0
0.6; 10; 11; BaekKwakLee2020; 24; 0; 976
0.7; 10; 11; Alg1; 66; 934; 0
0.7; 10; 11; BaekKwakLee2020; 11; 0; 989
0.8; 10; 11; Alg1; 57; 943; 0
0.8; 10; 11; BaekKwakLee2020; 8; 0; 992
0.9; 10; 11; Alg1; 43; 957; 0
0.9; 10; 11; BaekKwakLee2020; 9; 0; 991
0.1; 11; 12; Alg1; 1000; 0; 0
0.1; 11; 12; BaekKwakLee2020; 673; 0; 327
0.2; 11; 12; Alg1; 916; 84; 0
0.2; 11; 12; BaekKwakLee2020; 132; 0; 868
0.3; 11; 12; Alg1; 550; 450; 0
0.3; 11; 12; BaekKwakLee2020; 24; 0; 976
0.4; 11; 12; Alg1; 271; 729; 0
0.4; 11; 12; BaekKwakLee2020; 22; 0; 978
0.5; 11; 12; Alg1; 147; 853; 0
0.5; 11; 12; BaekKwakLee2020; 11; 0; 989
0.6; 11; 12; Alg1; 70; 930; 0
0.6; 11; 12; BaekKwakLee2020; 14; 0; 986
0.7; 11; 12; Alg1; 43; 957; 0
0.7; 11; 12; BaekKwakLee2020; 5; 0; 995
0.8; 11; 12; Alg1; 32; 968; 0
0.8; 11; 12; BaekKwakLee2020; 6; 0; 994
0.9; 11; 12; Alg1; 22; 978; 0
0.9; 11; 12; BaekKwakLee2020; 3; 0; 997
0.1; 12; 13; Alg1; 1000; 0; 0
0.1; 12; 13; BaekKwakLee2020; 664; 0; 336
0.2; 12; 13; Alg1; 897; 103; 0
0.2; 12; 13; BaekKwakLee2020; 127; 0; 873
0.3; 12; 13; Alg1; 475; 525; 0
0.3; 12; 13; BaekKwakLee2020; 16; 0; 984
0.4; 12; 13; Alg1; 213; 787; 0
0.4; 12; 13; BaekKwakLee2020; 23; 0; 977
0.5; 12; 13; Alg1; 102; 898; 0
0.5; 12; 13; BaekKwakLee2020; 14; 0; 986
0.6; 12; 13; Alg1; 65; 935; 0
0.6; 12; 13; BaekKwakLee2020; 4; 0; 996
0.7; 12; 13; Alg1; 36; 964; 0
0.7; 12; 13; BaekKwakLee2020; 5; 0; 995
0.8; 12; 13; Alg1; 22; 978; 0
0.8; 12; 13; BaekKwakLee2020; 5; 0; 995
0.9; 12; 13; Alg1; 18; 982; 0
0.9; 12; 13; BaekKwakLee2020; 3; 0; 997
0.1; 13; 14; Alg1; 1000; 0; 0
0.1; 13; 14; BaekKwakLee2020; 679; 0; 321
0.2; 13; 14; Alg1; 868; 132; 0
0.2; 13; 14; BaekKwakLee2020; 103; 0; 897
0.3; 13; 14; Alg1; 463; 537; 0
0.3; 13; 14; BaekKwakLee2020; 13; 0; 987
0.4; 13; 14; Alg1; 207; 793; 0
0.4; 13; 14; BaekKwakLee2020; 10; 0; 990
0.5; 13; 14; Alg1; 94; 906; 0
0.5; 13; 14; BaekKwakLee2020; 7; 0; 993
0.6; 13; 14; Alg1; 43; 957; 0
0.6; 13; 14; BaekKwakLee2020; 5; 0; 995
0.7; 13; 14; Alg1; 27; 973; 0
0.7; 13; 14; BaekKwakLee2020; 2; 0; 998
0.8; 13; 14; Alg1; 11; 989; 0
0.8; 13; 14; BaekKwakLee2020; 4; 0; 996
0.9; 13; 14; Alg1; 8; 992; 0
0.9; 13; 14; BaekKwakLee2020; 3; 0; 997
0.1; 14; 15; Alg1; 1000; 0; 0
0.1; 14; 15; BaekKwakLee2020; 689; 0; 311
0.2; 14; 15; Alg1; 832; 168; 0
0.2; 14; 15; BaekKwakLee2020; 89; 0; 911
0.3; 14; 15; Alg1; 438; 562; 0
0.3; 14; 15; BaekKwakLee2020; 14; 0; 986
0.4; 14; 15; Alg1; 150; 850; 0
0.4; 14; 15; BaekKwakLee2020; 11; 0; 989
0.5; 14; 15; Alg1; 80; 920; 0
0.5; 14; 15; BaekKwakLee2020; 5; 0; 995
0.6; 14; 15; Alg1; 35; 965; 0
0.6; 14; 15; BaekKwakLee2020; 4; 0; 996
0.7; 14; 15; Alg1; 15; 985; 0
0.7; 14; 15; BaekKwakLee2020; 0; 0; 1000
0.8; 14; 15; Alg1; 8; 992; 0
0.8; 14; 15; BaekKwakLee2020; 4; 0; 996
0.9; 14; 15; Alg1; 11; 989; 0
0.9; 14; 15; BaekKwakLee2020; 1; 0; 999
0.1; 15; 16; Alg1; 1000; 0; 0
0.1; 15; 16; BaekKwakLee2020; 687; 0; 313
0.2; 15; 16; Alg1; 809; 191; 0
0.2; 15; 16; BaekKwakLee2020; 74; 0; 926
0.3; 15; 16; Alg1; 354; 646; 0
0.3; 15; 16; BaekKwakLee2020; 9; 0; 991
0.4; 15; 16; Alg1; 144; 856; 0
0.4; 15; 16; BaekKwakLee2020; 2; 0; 998
0.5; 15; 16; Alg1; 45; 955; 0
0.5; 15; 16; BaekKwakLee2020; 1; 0; 999
0.6; 15; 16; Alg1; 23; 977; 0
0.6; 15; 16; BaekKwakLee2020; 2; 0; 998
0.7; 15; 16; Alg1; 16; 984; 0
0.7; 15; 16; BaekKwakLee2020; 2; 0; 998
0.8; 15; 16; Alg1; 9; 991; 0
0.8; 15; 16; BaekKwakLee2020; 0; 0; 1000
0.9; 15; 16; Alg1; 2; 998; 0
0.9; 15; 16; BaekKwakLee2020; 0; 0; 1000
0.1; 16; 17; Alg1; 999; 1; 0
0.1; 16; 17; BaekKwakLee2020; 710; 0; 290
0.2; 16; 17; Alg1; 804; 196; 0
